Protocol,Algorithm,Length,Comparisons,Time_ns
Random,StringMergeSort,100,504,161900
Random,StringMergeSort,200,1179,297300
Random,StringMergeSort,300,1894,489900
Random,StringMergeSort,400,2645,698700
Random,StringMergeSort,500,3394,876900
Random,StringMergeSort,600,4255,1031700
Random,StringMergeSort,700,5096,1216600
Random,StringMergeSort,800,5959,1392400
Random,StringMergeSort,900,6813,1586200
Random,StringMergeSort,1000,7727,1803400
Random,StringMergeSort,1100,8648,2005300
Random,StringMergeSort,1200,9565,2262500
Random,StringMergeSort,1300,10493,2548000
Random,StringMergeSort,1400,11397,3688500
Random,StringMergeSort,1500,12286,2912300
Random,StringMergeSort,1600,13337,3090800
Random,StringMergeSort,1700,14188,3222700
Random,StringMergeSort,1800,15325,6859800
Random,StringMergeSort,1900,16260,5360700
Random,StringMergeSort,2000,17086,4197200
Random,StringMergeSort,2100,18264,4394100
Random,StringMergeSort,2200,19142,4379200
Random,StringMergeSort,2300,20073,4671100
Random,StringMergeSort,2400,21270,5100300
Random,StringMergeSort,2500,22213,5635400
Random,StringMergeSort,2600,23289,5391700
Random,StringMergeSort,2700,24256,5566300
Random,StringMergeSort,2800,25283,7479700
Random,StringMergeSort,2900,26251,7084600
Random,StringMergeSort,3000,27314,6786900
Random,StringMergeSort,100,508,135100
Random,StringMergeSort,200,1174,298300
Random,StringMergeSort,300,1871,512000
Random,StringMergeSort,400,2681,664700
Random,StringMergeSort,500,3454,822400
Random,StringMergeSort,600,4226,1070400
Random,StringMergeSort,700,5185,1194500
Random,StringMergeSort,800,5877,1388800
Random,StringMergeSort,900,6837,1558600
Random,StringMergeSort,1000,7693,1777500
Random,StringMergeSort,1100,8569,1991200
Random,StringMergeSort,1200,9451,2212400
Random,StringMergeSort,1300,10440,2292500
Random,StringMergeSort,1400,11366,2488100
Random,StringMergeSort,1500,12349,2701600
Random,StringMergeSort,1600,13251,2885000
Random,StringMergeSort,1700,14298,3066000
Random,StringMergeSort,1800,15290,3259800
Random,StringMergeSort,1900,16277,3448200
Random,StringMergeSort,2000,17144,6262600
Random,StringMergeSort,2100,18209,4064900
Random,StringMergeSort,2200,19131,4434900
Random,StringMergeSort,2300,20250,4522000
Random,StringMergeSort,2400,21357,4749100
Random,StringMergeSort,2500,22239,13255000
Random,StringMergeSort,2600,23132,8023000
Random,StringMergeSort,2700,24267,5592500
Random,StringMergeSort,2800,25175,5996100
Random,StringMergeSort,2900,26232,6692400
Random,StringMergeSort,3000,27294,6459000
Random,StringMergeSort,100,500,166400
Random,StringMergeSort,200,1188,288800
Random,StringMergeSort,300,1858,451900
Random,StringMergeSort,400,2574,647500
Random,StringMergeSort,500,3423,813500
Random,StringMergeSort,600,4206,994800
Random,StringMergeSort,700,5144,1228500
Random,StringMergeSort,800,5961,1350400
Random,StringMergeSort,900,6821,1516500
Random,StringMergeSort,1000,7812,1717000
Random,StringMergeSort,1100,8615,1820100
Random,StringMergeSort,1200,9583,2201900
Random,StringMergeSort,1300,10549,2179400
Random,StringMergeSort,1400,11360,2429000
Random,StringMergeSort,1500,12398,2569500
Random,StringMergeSort,1600,13288,2756800
Random,StringMergeSort,1700,14123,3017400
Random,StringMergeSort,1800,15229,3201400
Random,StringMergeSort,1900,16152,3432100
Random,StringMergeSort,2000,17115,3908200
Random,StringMergeSort,2100,18043,4052400
Random,StringMergeSort,2200,19200,4360300
Random,StringMergeSort,2300,20056,4683800
Random,StringMergeSort,2400,21159,4731200
Random,StringMergeSort,2500,22338,5166200
Random,StringMergeSort,2600,23010,6968900
Random,StringMergeSort,2700,24228,5737300
Random,StringMergeSort,2800,25233,6123300
Random,StringMergeSort,2900,26249,8746500
Random,StringMergeSort,3000,27296,7379100
Random,StringMergeSort,100,530,142400
Random,StringMergeSort,200,1155,302400
Random,StringMergeSort,300,1908,487800
Random,StringMergeSort,400,2657,658700
Random,StringMergeSort,500,3373,824200
Random,StringMergeSort,600,4299,966000
Random,StringMergeSort,700,5120,1112700
Random,StringMergeSort,800,5945,1279800
Random,StringMergeSort,900,6752,2777000
Random,StringMergeSort,1000,7684,2391500
Random,StringMergeSort,1100,8596,1902100
Random,StringMergeSort,1200,9624,2008300
Random,StringMergeSort,1300,10542,2308400
Random,StringMergeSort,1400,11406,2412100
Random,StringMergeSort,1500,12321,2673000
Random,StringMergeSort,1600,13378,2761700
Random,StringMergeSort,1700,14270,3026900
Random,StringMergeSort,1800,15171,3253200
Random,StringMergeSort,1900,16239,3463500
Random,StringMergeSort,2000,17290,3940000
Random,StringMergeSort,2100,18103,4148200
Random,StringMergeSort,2200,19228,4465300
Random,StringMergeSort,2300,20053,7982800
Random,StringMergeSort,2400,21092,4959600
Random,StringMergeSort,2500,22191,5686400
Random,StringMergeSort,2600,23099,5456400
Random,StringMergeSort,2700,24219,5717500
Random,StringMergeSort,2800,25292,6761200
Random,StringMergeSort,2900,26425,6334200
Random,StringMergeSort,3000,27354,6681100
Random,StringMergeSort,100,506,158500
Random,StringMergeSort,200,1190,291900
Random,StringMergeSort,300,1880,503100
Random,StringMergeSort,400,2622,661500
Random,StringMergeSort,500,3354,759700
Random,StringMergeSort,600,4265,941100
Random,StringMergeSort,700,5071,1113200
Random,StringMergeSort,800,6013,1273300
Random,StringMergeSort,900,6848,1549900
Random,StringMergeSort,1000,7755,1755200
Random,StringMergeSort,1100,8596,1915200
Random,StringMergeSort,1200,9515,2287400
Random,StringMergeSort,1300,10557,2159300
Random,StringMergeSort,1400,11413,2451200
Random,StringMergeSort,1500,12312,2852200
Random,StringMergeSort,1600,13276,2862400
Random,StringMergeSort,1700,14269,2997000
Random,StringMergeSort,1800,15261,3257800
Random,StringMergeSort,1900,16338,3451400
Random,StringMergeSort,2000,17111,3855200
Random,StringMergeSort,2100,18259,3968300
Random,StringMergeSort,2200,19145,4343600
Random,StringMergeSort,2300,20150,4679100
Random,StringMergeSort,2400,21260,4754700
Random,StringMergeSort,2500,22132,4956100
Random,StringMergeSort,2600,23206,5505300
Random,StringMergeSort,2700,24292,5826800
Random,StringMergeSort,2800,25267,5812600
Random,StringMergeSort,2900,26263,6127100
Random,StringMergeSort,3000,27257,6830700
Random,QuickSort,100,723,90900
Random,QuickSort,200,1934,177800
Random,QuickSort,300,3006,277800
Random,QuickSort,400,4180,375500
Random,QuickSort,500,5942,464300
Random,QuickSort,600,7098,658700
Random,QuickSort,700,8915,965600
Random,QuickSort,800,10272,810600
Random,QuickSort,900,12476,905100
Random,QuickSort,1000,12998,985600
Random,QuickSort,1100,17011,1258300
Random,QuickSort,1200,16276,1137700
Random,QuickSort,1300,18132,1343000
Random,QuickSort,1400,20958,1733800
Random,QuickSort,1500,22648,1669000
Random,QuickSort,1600,24903,2226000
Random,QuickSort,1700,27732,1954000
Random,QuickSort,1800,29328,3542400
Random,QuickSort,1900,29881,3946000
Random,QuickSort,2000,31673,2213800
Random,QuickSort,2100,34724,2474500
Random,QuickSort,2200,41920,2785100
Random,QuickSort,2300,38462,2614900
Random,QuickSort,2400,41582,4196200
Random,QuickSort,2500,46204,3235600
Random,QuickSort,2600,46093,4104100
Random,QuickSort,2700,47690,3405000
Random,QuickSort,2800,49574,3351800
Random,QuickSort,2900,52144,3412900
Random,QuickSort,3000,53484,3596200
Random,QuickSort,100,723,70000
Random,QuickSort,200,1659,146700
Random,QuickSort,300,3056,247000
Random,QuickSort,400,4533,461600
Random,QuickSort,500,6011,464400
Random,QuickSort,600,7645,552000
Random,QuickSort,700,9998,748300
Random,QuickSort,800,11322,866300
Random,QuickSort,900,11825,886000
Random,QuickSort,1000,15016,1048500
Random,QuickSort,1100,15105,1138400
Random,QuickSort,1200,16770,1216400
Random,QuickSort,1300,19391,1342700
Random,QuickSort,1400,21393,1485800
Random,QuickSort,1500,21774,1529600
Random,QuickSort,1600,24704,1712600
Random,QuickSort,1700,28061,2262900
Random,QuickSort,1800,29916,2097900
Random,QuickSort,1900,32540,2188500
Random,QuickSort,2000,32605,2208900
Random,QuickSort,2100,34267,2334900
Random,QuickSort,2200,35711,2381700
Random,QuickSort,2300,37982,2531200
Random,QuickSort,2400,41386,2745700
Random,QuickSort,2500,43370,3015800
Random,QuickSort,2600,46166,3204800
Random,QuickSort,2700,48021,3772700
Random,QuickSort,2800,49987,3856900
Random,QuickSort,2900,51144,3481600
Random,QuickSort,3000,53192,3580200
Random,QuickSort,100,711,67000
Random,QuickSort,200,1721,140800
Random,QuickSort,300,3035,259200
Random,QuickSort,400,4429,328000
Random,QuickSort,500,5725,433900
Random,QuickSort,600,7004,551500
Random,QuickSort,700,9170,744000
Random,QuickSort,800,10727,782800
Random,QuickSort,900,11742,948200
Random,QuickSort,1000,13940,1002900
Random,QuickSort,1100,14797,1072400
Random,QuickSort,1200,19369,1386500
Random,QuickSort,1300,19891,1350100
Random,QuickSort,1400,22549,1593800
Random,QuickSort,1500,23218,1622500
Random,QuickSort,1600,24936,2137800
Random,QuickSort,1700,28309,1937100
Random,QuickSort,1800,28258,1942000
Random,QuickSort,1900,31609,2150000
Random,QuickSort,2000,33921,2295200
Random,QuickSort,2100,34925,2346300
Random,QuickSort,2200,36013,2387600
Random,QuickSort,2300,39685,2791400
Random,QuickSort,2400,42048,2883300
Random,QuickSort,2500,42766,2871400
Random,QuickSort,2600,44244,2984100
Random,QuickSort,2700,46971,3336700
Random,QuickSort,2800,48755,3271600
Random,QuickSort,2900,54592,4106300
Random,QuickSort,3000,54272,7408000
Random,QuickSort,100,673,68600
Random,QuickSort,200,1892,160600
Random,QuickSort,300,2824,217700
Random,QuickSort,400,4339,369400
Random,QuickSort,500,6036,460400
Random,QuickSort,600,6962,536300
Random,QuickSort,700,9315,1029200
Random,QuickSort,800,10650,780700
Random,QuickSort,900,12182,917900
Random,QuickSort,1000,14820,2049500
Random,QuickSort,1100,15603,1114600
Random,QuickSort,1200,18076,1310300
Random,QuickSort,1300,18816,1571900
Random,QuickSort,1400,22192,1537800
Random,QuickSort,1500,22661,1550600
Random,QuickSort,1600,25125,1823900
Random,QuickSort,1700,28312,1830500
Random,QuickSort,1800,28515,1995100
Random,QuickSort,1900,30214,2037500
Random,QuickSort,2000,31707,2286800
Random,QuickSort,2100,35352,2460700
Random,QuickSort,2200,38594,2657500
Random,QuickSort,2300,39027,2579400
Random,QuickSort,2400,41185,6354400
Random,QuickSort,2500,42891,2836800
Random,QuickSort,2600,45646,3098100
Random,QuickSort,2700,46653,3174400
Random,QuickSort,2800,48857,4298500
Random,QuickSort,2900,54757,3517800
Random,QuickSort,3000,53619,3669900
Random,QuickSort,100,677,64500
Random,QuickSort,200,2044,167100
Random,QuickSort,300,3021,256200
Random,QuickSort,400,4654,393600
Random,QuickSort,500,5636,445000
Random,QuickSort,600,6972,559400
Random,QuickSort,700,8408,1037400
Random,QuickSort,800,10058,751100
Random,QuickSort,900,12136,880900
Random,QuickSort,1000,13661,1073800
Random,QuickSort,1100,14634,1089600
Random,QuickSort,1200,17717,1272500
Random,QuickSort,1300,18749,1403600
Random,QuickSort,1400,20285,2884300
Random,QuickSort,1500,22630,1527400
Random,QuickSort,1600,25416,1685900
Random,QuickSort,1700,26283,1845300
Random,QuickSort,1800,31490,2206800
Random,QuickSort,1900,32484,2195400
Random,QuickSort,2000,32899,2289900
Random,QuickSort,2100,34789,2297300
Random,QuickSort,2200,37465,2488100
Random,QuickSort,2300,38428,2658000
Random,QuickSort,2400,40928,3443500
Random,QuickSort,2500,43128,2892800
Random,QuickSort,2600,45022,3089700
Random,QuickSort,2700,47298,3283600
Random,QuickSort,2800,49956,3661800
Random,QuickSort,2900,50012,3430800
Random,QuickSort,3000,54638,3821100
Random,StringQuickSort,100,634,93600
Random,StringQuickSort,200,1547,163900
Random,StringQuickSort,300,2278,279500
Random,StringQuickSort,400,3231,489000
Random,StringQuickSort,500,4499,424100
Random,StringQuickSort,600,5242,476400
Random,StringQuickSort,700,5903,553300
Random,StringQuickSort,800,7680,708000
Random,StringQuickSort,900,9254,819400
Random,StringQuickSort,1000,9398,897000
Random,StringQuickSort,1100,11100,994400
Random,StringQuickSort,1200,11527,1048900
Random,StringQuickSort,1300,11553,1071900
Random,StringQuickSort,1400,14194,2737100
Random,StringQuickSort,1500,14834,1338700
Random,StringQuickSort,1600,15806,1434300
Random,StringQuickSort,1700,18038,1632200
Random,StringQuickSort,1800,19109,1913500
Random,StringQuickSort,1900,20159,1781900
Random,StringQuickSort,2000,20344,1860800
Random,StringQuickSort,2100,21698,1862500
Random,StringQuickSort,2200,24957,1998700
Random,StringQuickSort,2300,23517,2033300
Random,StringQuickSort,2400,25996,2116100
Random,StringQuickSort,2500,29377,5148600
Random,StringQuickSort,2600,27288,2303600
Random,StringQuickSort,2700,31689,2611300
Random,StringQuickSort,2800,30235,2528400
Random,StringQuickSort,2900,34743,2761300
Random,StringQuickSort,3000,34647,2923700
Random,StringQuickSort,100,646,72000
Random,StringQuickSort,200,1414,142800
Random,StringQuickSort,300,2262,394400
Random,StringQuickSort,400,3569,324300
Random,StringQuickSort,500,4358,387900
Random,StringQuickSort,600,5739,471400
Random,StringQuickSort,700,7676,656500
Random,StringQuickSort,800,7330,674200
Random,StringQuickSort,900,7988,771600
